Varibale_1,Varibale_2,Varibale_3,Label
-0.717609018,-0.265366099,-1.816593477,0
-0.659852166,-0.289258354,-2.003620785,0
0.992778884,1.165430086,0.377225803,1
1.082814952,1.157760529,0.138510824,1
-0.793850012,-0.057580765,-0.869252414,0
-0.601153991,-0.171126983,-1.571725337,0
-0.830072962,-0.133698696,-0.917970133,0
1.254853953,1.093022237,-0.423978128,1
-0.668886132,-0.15630477,-1.377622178,0
0.882732633,1.275029945,0.86373729,1
-0.865080338,-0.257648474,-1.069935379,0
-0.859968943,0.511035589,-1.027834762,0
-0.689641731,0.138316799,-1.018729074,0
-0.699079102,0.006523876,-0.980794492,0
-0.819008807,0.024214206,-0.63792261,0
-0.712429534,-0.376251387,-0.642528999,0
-0.750389849,-0.506234112,-0.617689026,0
-0.739486357,-0.524078317,-0.540539454,0
-0.60400927,-0.772714143,-0.838352099,0
-0.570744526,-0.699998654,-0.789713702,0
-0.695757446,-0.829040087,-0.71107587,0
-0.546342547,-0.663774799,-0.783622697,0
-0.448857584,-0.905891923,-1.100672481,0
-0.698940898,-0.882331519,-0.173788708,0
-0.568081736,-0.528717856,-0.966673344,0
-0.567403971,-0.578048668,-0.749277309,0
-0.850923356,-0.568184377,0.357212386,0
-0.711270513,-0.706848307,-0.258634765,0
-0.817708786,0.153727028,-1.274499674,0
-0.76758695,0.224359515,-1.269397369,0
-0.650507853,-0.987647346,-0.243707564,0
-0.788789226,-0.827414927,0.41172973,0
-0.671663824,-0.904020011,-0.260139558,0
-0.557798647,-0.841689171,-0.428667445,0
-0.66080788,-0.807525805,-0.15300022,0
-0.662466638,-0.837202079,-0.206062946,0
-0.553509724,-0.94374865,-0.639475534,0
1.399342823,0.088030999,0.603283152,1
-0.523151164,-1.221889067,-0.461720326,0
0.836966169,1.829306385,0.305197855,1
-0.848468771,0.589060151,-1.223455963,0
-0.485744309,-1.57306129,-0.46976657,0
-0.618027515,-0.937571525,-0.579465237,0
-0.835077212,-1.012080871,-0.276222313,0
-0.755449807,-0.694977561,0.124443824,0
-0.660659549,-0.73845631,-0.354200068,0
-0.655532925,-0.567189401,-0.244186206,0
-0.611437329,-0.253304557,-0.799768926,0
-0.794601976,-0.169763019,-0.916976599,0
-1.026038537,0.833169903,-0.382922927,0
-0.760960198,0.697748696,-1.304925889,0
-0.778488573,0.765704813,-1.13479138,0
-1.032078377,0.783260067,-0.454696065,0
-1.100167882,0.781188771,-0.28730396,0
-0.424038598,-1.765379127,-0.179102476,0
-0.648529633,-0.894804352,-0.514866122,0
-0.63844752,-0.786808787,0.05466845,0
-0.564577832,-1.208716749,0.10682656,0
-0.354594157,-0.791285624,-2.037690057,0
-0.807275246,0.564663825,-1.405332775,0
-1.00113927,-0.204487919,0.170266534,0
0.335913765,3.839925694,1.787660167,1
-0.993526606,1.512076201,-2.29777434,0
-0.149092375,-1.746487529,-1.775263294,0
1.428547814,0.928752347,-0.596398568,1
-0.624451133,0.091982252,0.758312613,0
-0.800797573,0.080904137,-0.609296319,0
-0.801058398,-0.656535682,-0.160843718,0
-0.841987921,-0.253358729,-0.889576232,0
-0.153039542,-1.424613276,-1.977827912,0
1.24950884,1.930066109,-0.674553488,1
1.397164295,1.853562569,-1.197229745,1
-0.42826333,-0.051527699,-1.723292124,0
-0.369055023,-0.110406645,-1.979135321,0
-0.312661683,-0.593763506,-1.953308333,0
-0.421324262,-0.321736299,-1.865665709,0
-0.565500663,0.433741005,-1.686149512,0
-0.430546192,-0.293439238,-1.442383699,0
-0.672431872,-0.228351943,-0.703063038,0
-0.27061756,-0.555772384,-1.717064257,0
1.243987718,1.658457429,-0.286483865,1
-0.929605482,0.846948581,-1.256933547,0
-0.712713567,-0.024629431,-0.528563508,0
